--- Courses with invalid hours (NULL or 0) ---
Found 332 unschedulable courses:
  [AIT001] Atatürk İlkeleri ve İnkılâp Tarihi I: T=0, U=0, L=0
  [AIT001] Atatürk İlkeleri ve İnkilapları Tarihi 1: T=0, U=0, L=0
  [AIT001] Atatürk İlkeleri ve Inkılap Tarihi 1: T=0, U=0, L=0
  [BSD] Seçmeli Ders: T=0, U=0, L=0
  [BSP201] Şantiye Stajı / Internship in Site: T=0, U=0, L=0
  [BUP403] Büro Stajı / Internship in Office: T=0, U=0, L=0
  [BWL101] İşletmeye Giriş: T=0, U=0, L=0
  [BWL102] Organizasyon: T=0, U=0, L=0
  [BWL103] Muhasebe: T=0, U=0, L=0
  [BWL104] Bilanço: T=0, U=0, L=0
  [BWL105] İstatistik 1: T=0, U=0, L=0
  [BWL106] İstatistik 2: T=0, U=0, L=0
  [BWL109] Matematik 1: T=0, U=0, L=0
  [BWL112] Matematik 2: T=0, U=0, L=0
  [BWL181] İşletmeye Giriş: T=0, U=0, L=0
  [BWL183] Muhasebenin Temelleri: T=0, U=0, L=0
  [BWL201] Pazarlamanın Temelleri: T=0, U=0, L=0
  [BWL205] Maliyet Muhasebesi: T=0, U=0, L=0
  [BWL207] Yatırım ve Finansman: T=0, U=0, L=0
  [BWL210] İşletme Finansı: T=0, U=0, L=0
  [BWL211] İşletme Enformatiğinin Temelleri: T=0, U=0, L=0
  [BWL212] Stratejik Pazarlama: T=0, U=0, L=0
  [BWL214] Operasyon Yönetimi: T=0, U=0, L=0
  [BWL216] E-İş: T=0, U=0, L=0
  [BWL309] Stratejik Yönetim: T=0, U=0, L=0
  [BWL310] Bilimsel Çalışma Yöntemleri: T=0, U=0, L=0
  [BWL314] Yönetim Muhasebesi: T=0, U=0, L=0
  [BWL407] İşletme Stajı (BWL-Praktikum)*: T=0, U=0, L=0
  [BWL413] Pazar Araştırması: T=0, U=0, L=0
  [BWL415] Yöneylem Araştırması: T=0, U=0, L=0
  [BWL417] İş Etiği: T=0, U=0, L=0
  [DEU111] İktisatçılar için Almanca 1: T=0, U=0, L=0
  [DEU111] İşletme Almancası 1: T=0, U=0, L=0
  [DEU112] İktisatçılar için Almanca 2: T=0, U=0, L=0
  [DEU112] İşletme Almancası 2: T=0, U=0, L=0
  [DEU121] Siyaset Bilimi için Almanca I: T=0, U=0, L=0
  [DEU122] Siyaset Bilimi için Almanca II: T=0, U=0, L=0
  [ENG101] İngilizce 1: T=0, U=0, L=0
  [ENG102] İngilizce 2: T=0, U=0, L=0
  [ENG103] İngilizce I: T=0, U=0, L=0
  [ENG104] İngilizce II: T=0, U=0, L=0
  [ENG201] İngilizce 3: T=0, U=0, L=0
  [ENG202] İngilizce 4: T=0, U=0, L=0
  [ENG203] İngilizce III: T=0, U=0, L=0
  [ENG204] İngilizce IV: T=0, U=0, L=0
  [ENG301] İleri İngilizce 1: T=0, U=0, L=0
  [ENG302] İleri İngilizce 2: T=0, U=0, L=0
  [ENG303] İleri İngilizce 1: T=0, U=0, L=0
  [ENG304] İleri İngilizce 2: T=0, U=0, L=0
  [ETE299] Temel Staj / Basic Internship: T=0, U=0, L=0
  [ETE490] İşletmede Mesleki Eğitim: T=0, U=0, L=0
  [ETE499] Mesleki Alan Stajı / Specialized Internship: T=0, U=0, L=0
  [HUK150] Anayasa Hukuku II: T=0, U=0, L=0
  [HUK151] Hukuka Giriş: T=0, U=0, L=0
  [HUK152] Metodoloji: T=0, U=0, L=0
  [HUK153] Anayasa Hukuku I: T=0, U=0, L=0
  [HUK154] Avrupa Hukuk Tarihi: T=0, U=0, L=0
  [HUK155] Ceza Hukukunun Temel Prensipleri: T=0, U=0, L=0
  [HUK156] Anayasa Hukuku Pratik Çalışmaları: T=0, U=0, L=0
  [HUK157] Hukuki İşlem Teorisi: T=0, U=0, L=0
  [HUK158] Kişiler Hukuku: T=0, U=0, L=0
  [HUK159] Anayasa Hukukunun Temel Prensipleri: T=0, U=0, L=0
  [HUK160] Türk Hukuk Tarihi: T=0, U=0, L=0
  [HUK161] Medeni Hukuka Giriş ve Başlangıç Hükümleri: T=0, U=0, L=0
  [HUK162] İktisat: T=0, U=0, L=0
  [HUK163] Ceza Hukukuna Giriş: T=0, U=0, L=0
  [HUK164] Hukuk Almancası: T=0, U=0, L=0
  [HUK250] Ceza Hukuku Genel Hükümler II: T=0, U=0, L=0
  [HUK251] Ceza Hukuku Genel Hükümler I: T=0, U=0, L=0
  [HUK252] Milletlerarası Hukuk II: T=0, U=0, L=0
  [HUK253] İdare Hukuku I: T=0, U=0, L=0
  [HUK254] Adil Yargılama İlkeleri: T=0, U=0, L=0
  [HUK255] Milletlerarası Hukuk I: T=0, U=0, L=0
  [HUK256] İdare Hukuku II: T=0, U=0, L=0
  [HUK257] Alman Sözleşme Hukuku: T=0, U=0, L=0
  [HUK258] Mali Hukuk: T=0, U=0, L=0
  [HUK259] Hukuk Felsefesi ve Hukuk Sosyolojisi: T=0, U=0, L=0
  [HUK260] Borçlar Hukuku Genel Hükümler II: T=0, U=0, L=0
  [HUK261] Borçlar Hukuku Genel Hükümler I: T=0, U=0, L=0
  [HUK350] Ceza Hukuku Özel Hükümler II: T=0, U=0, L=0
  [HUK351] Ceza Hukuku Özel Hükümler I: T=0, U=0, L=0
  [HUK352] Şirketler Hukuku: T=0, U=0, L=0
  [HUK353] Ticari İşletme Hukuku: T=0, U=0, L=0
  [HUK354] Eşya Hukuku II: T=0, U=0, L=0
  [HUK355] Eşya Hukuku I: T=0, U=0, L=0
  [HUK356] Medeni Usul Hukuku II: T=0, U=0, L=0
  [HUK357] Medeni Usul Hukuku I: T=0, U=0, L=0
  [HUK358] İş ve Sosyal Güvenlik Hukuku II: T=0, U=0, L=0
  [HUK359] Avrupa Hukuku: T=0, U=0, L=0
  [HUK360] Devlet Kuramı: T=0, U=0, L=0
  [HUK361] Alman İdare Hukuku – Temel Kavramlar: T=0, U=0, L=0
  [HUK362] Alman Ceza Muhakemesi Hukuku: T=0, U=0, L=0
  [HUK363] Özel Borç İlişkileri I: T=0, U=0, L=0
  [HUK364] Özel Borç İlişkileri II: T=0, U=0, L=0
  [HUK365] İş ve Sosyal Güvenlik Hukuku I: T=0, U=0, L=0
  [HUK451] Ceza Muhakemesi Hukuku I: T=0, U=0, L=0
  [HUK453] Devletler Özel Hukuku I: T=0, U=0, L=0
  [HUK455] Aile ve Çocuk Hukuku: T=0, U=0, L=0
  [HUK457] İcra ve İflas Hukuku I: T=0, U=0, L=0
  [HUK459] İnsan Hakları Hukuku: T=0, U=0, L=0
  [HUK461] Alman Özel İdare Hukuku: T=0, U=0, L=0
  [HUK463] Taşıma Hukuku: T=0, U=0, L=0
  [HUK465] Kıymetli Evrak Hukuku: T=0, U=0, L=0
  [HUK561] Avrupa Hukuku ve Uluslararası Hukuk I: T=0, U=0, L=0
  [HUK563] Ekonomi Hukuku I: T=0, U=0, L=0
  [HUK565] İleri Alman Hukuku I: T=0, U=0, L=0
  [HUK658] Avrupa Hukuku ve Uluslararası Hukuk II: T=0, U=0, L=0
  [HUK660] Ekonomi Hukuku II: T=0, U=0, L=0
  [HUK662] İleri Alman Hukuku II: T=0, U=0, L=0
  [HUK751] İnfaz Hukuku: T=0, U=0, L=0
  [HUK753] Milletlerarası Mal Satım Sözleşmeleri Hukuku: T=0, U=0, L=0
  [HUK755] Rekabet Hukuku: T=0, U=0, L=0
  [HUK757] Staj Eğitimi: T=0, U=0, L=0
  [HUK765] İdarenin Sözleşmelerine ve Kamu İhale Hukukuna Giriş: T=0, U=0, L=0
  [HUK767] Türkiye-AB Ortaklık Hukuku: T=0, U=0, L=0
  [HUK769] Etik: T=0, U=0, L=0
  [HUK856] Avrupa Hukuku ve Uluslararası Hukuk IV: T=0, U=0, L=0
  [HUK858] Ekonomi Hukuku IV: T=0, U=0, L=0
  [HUK860] İleri Alman Hukuku IV: T=0, U=0, L=0
  [HUK911] Hukuka Giriş: T=0, U=0, L=0
  [HUK921] Hukuka Giriş: T=0, U=0, L=0
  [HUK931] Hukuka Giriş: T=0, U=0, L=0
  [HUKSD5] Seçimlik Dersler: T=0, U=0, L=0
  [HUKSD6] Seçimlik Dersler: T=0, U=0, L=0
  [HUKSD7] Seçimlik Dersler: T=0, U=0, L=0
  [INF499] Mesleki Alan Stajı: T=0, U=0, L=0
  [ISG002] İş Sağlığı ve İş Güvenliği II: T=0, U=0, L=0
  [KKW101] Sosyal Bilimlerin Temelleri: T=0, U=0, L=0
  [KKW102] Kültür Bilimleri Araştırma Yöntemleri: T=0, U=0, L=0
  [KKW103] İletişim Bilimlerine Giriş: T=0, U=0, L=0
  [KKW105] Kültür Bilimlerine Giriş: T=0, U=0, L=0
  [KKW106] Kültür Kuramları: T=0, U=0, L=0
  [KKW118] İletişim Bil. Niceliksel ve Niteliksel Araştırma Y.: T=0, U=0, L=0
  [KKW121] Çalışma Teknikleri: Bilimsel Çalışmalar: T=0, U=0, L=0
  [KKW150] İletişim Kuramları I: T=0, U=0, L=0
  [KKW161] Mesleki Almanca I: Kültür Bilimleri: T=0, U=0, L=0
  [KKW162] Mesleki Almanca II: İletişim Bilimleri: T=0, U=0, L=0
  [KKW209] Kültür Üretiminin Araçları Olarak Edebiyat ve Sanat: T=0, U=0, L=0
  [KKW212] Kültürel Hafızanın Taşıyıcısı Olarak Edebiyat ve Sanat: T=0, U=0, L=0
  [KKW216] Kültür, Toplum ve Gazetecilik: T=0, U=0, L=0
  [KKW218] Göç ve Kültür: T=0, U=0, L=0
  [KKW219] Yeni Medya Teknolojileri: T=0, U=0, L=0
  [KKW221] Kültür Tarihi: T=0, U=0, L=0
  [KKW226] Kültür ve Küreselleşme: T=0, U=0, L=0
  [KKW251] İletişim Kuramları II: T=0, U=0, L=0
